Exercise ,Short YouTube Demonstration,In-Depth YouTube Explanation,Difficulty Level,Target Muscle Group ,Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,Primary Equipment ,# Primary Items,Secondary Equipment,# Secondary Items,Posture,Single or Double Arm,Continuous or Alternating Arms ,Grip,Load Position (Ending),Combination Exercises,Movement Pattern #1,Movement Pattern #2,Movement Pattern #3,Plane Of Motion #1,Plane Of Motion #2,Plane Of Motion #3,Body Region,Force Type,Mechanics,Laterality,Exercise Classification
Double Dumbbell Suitcase Bulgarian Split Squat,Video Demonstration,Video Explanation,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,2,,,Single Leg Supported,Double Arm,Continuous,Neutral,Suitcase,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Dumbbell Overhead Contralateral Box Step Up,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,1,Plyo Box,1,Standing,Single Arm,Continuous,Neutral,Overhead,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
Double Dumbbell Suitcase Deficit Split Squat,Video Demonstration,Video Explanation,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,2,,,Split Stance Standing,Double Arm,Continuous,Neutral,Suitcase,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Dumbbell Suitcase Alternating Forward Lunge,Video Demonstration,Video Explanation,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,2,,,Standing,Double Arm,Continuous,Neutral,Suitcase,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Dumbbell Suitcase Alternating Reverse Lunge,Video Demonstration,Video Explanation,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,2,,,Standing,Double Arm,Continuous,Neutral,Suitcase,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Dumbbell Seated Reverse Fly,Video Demonstration,,Beginner,Shoulders,Posterior Deltoids,,,Dumbbell,2,,,Seated,Double Arm,Continuous,Neutral,Other,Single Exercise,Horizontal Pull,,,Frontal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
Double Dumbbell Suitcase Split Squat,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,2,,,Split Stance Standing,Double Arm,Continuous,Neutral,Suitcase,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Dumbbell Suitcase Box Step Up,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,2,Plyo Box,1,Standing,Double Arm,Continuous,Neutral,Suitcase,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Face the Wall Squat,Video Demonstration,Video Explanation,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight,0,,,Standing,No Arms,Continuous,No Grip,No Load,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,
Feet Elevated Glute Bridge,Video Demonstration,Video Explanation,Novice,Glutes,Gluteus Maximus,,,Bodyweight,0,,,Bridge,No Arms,Continuous,No Grip,No Load,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,,Compound,Bilateral,
Single Arm Kettlebell Clean,Video Demonstration,Video Explanation,Intermediate,Glutes,Gluteus Maximus,,,Kettlebell,1,,,Standing,Single Arm,Continuous,Neutral,Front Rack,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,,Compound,Unilateral,Ballistics
Single Arm Kettlebell Clean to Overhead Press,Video Demonstration,Video Explanation,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell,1,,,Standing,Single Arm,Continuous,Pronated,Overhead,Combo Exercise,Hip Hinge,Vertical Push,,Sagittal Plane,,,Full Body,,Compound,Unilateral,Ballistics
Kettlebell Alternating Halo,Video Demonstration,Video Explanation,Novice,Shoulders,Posterior Deltoids,Medial Deltoids,,Kettlebell,1,,,Standing,Double Arm,Continuous,Bottoms Up Horn Grip,Other,Single Exercise,Rotational,,,Transverse Plane,,,Upper Body,Pull,Compound,Bilateral,Mobility
Single Arm Kettlebell Overhead Press,Video Demonstration,Video Explanation,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,1,,,Standing,Single Arm,Continuous,Pronated,Overhead,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Snatch,Video Demonstration,Video Explanation,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell,1,,,Standing,Single Arm,Continuous,Pronated,Overhead,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,,Compound,Unilateral,Ballistics
Kettlebell Sumo Deadlift,Video Demonstration,Video Explanation,Beginner,Back,Latissimus Dorsi,Gluteus Maximus,,Kettlebell,1,,,Standing,Double Arm,Continuous,Pronated,Other,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Pull,Compound,Bilateral,
Single Arm Kettlebell Turkish Get Up,Video Demonstration,Video Explanation,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Kettlebell,1,,,Supine,Single Arm,Continuous,Pronated,Overhead,Single Exercise,Rotational,,,Transverse Plane,Sagittal Plane,,Full Body,Other,Compound,Unilateral,Grinds
Miniband Monster Walk,Video Demonstration,,Beginner,Abductors,Gluteus Medius,Gluteus Medius,Tensor Fasciae Latae,Miniband,1,,,Walking,No Arms,Continuous,No Grip,No Load,Single Exercise,Hip Abduction,,,Transverse Plane,,,Lower Body,Other,Compound,Unilateral,
Quadruped Hip Extension,Video Demonstration,,Beginner,Glutes,Gluteus Maximus,,,Bodyweight,0,,,Quadruped,Double Arm,Continuous,Flat Palm,No Load,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,,Isolation,Unilateral,
Suspension Pistol Squat,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Suspension Trainer,1,,,Single Leg Standing,Double Arm,Continuous,Neutral,No Load,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,
Suspension Skater Squat,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Suspension Trainer,1,,,Single Leg Standing,Double Arm,Continuous,Neutral,No Load,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,
Tuck Jump,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight,0,,,Standing,No Arms,Continuous,No Grip,No Load,Single Exercise,,,,Sagittal Plane,,,Lower Body,,Compound,Bilateral,Plyometric
Alternating Single Leg Wall Sit,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight,0,,,Standing,No Arms,Continuous,No Grip,No Load,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Lower Body,Other,Compound,Unilateral,
Single Leg Romanian Deadlift Jump,Video Demonstration,,Intermediate,Hamstrings,Biceps Femoris,Gluteus Maximus,,Bodyweight,0,,,Single Leg Standing,No Arms,Continuous,No Grip,No Load,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Lower Body,Other,Compound,Unilateral,Plyometric
Double Dumbbell Overhead Walking Lunge,Video Demonstration,Video Explanation,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,2,,,Walking,Double Arm,Continuous,Neutral,Overhead,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Stability Ball Overhead Walking Lunge,Video Demonstration,,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Stability Ball,1,,,Walking,Double Arm,Continuous,Neutral,Overhead,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Stability Ball Dumbbell Suitcase Bulgarian Split Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Stability Ball,1,Dumbbell,2,Single Leg Supported,Double Arm,Continuous,Neutral,Suitcase,Single Exercise,Hip Dominant ,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Bodyweight Leg Extension,Video Demonstration,Video Explanation,Novice,Quadriceps,Quadriceps Femoris,,,Bodyweight,0,,,Tall Kneeling,No Arms,Continuous,No Grip,No Load,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,,Isolation,Bilateral,
Lateral Bench Jump,Video Demonstration,Video Explanation,Novice,Glutes,Gluteus Maximus,,,Bodyweight,0,Bench (Flat),1,Standing,No Arms,Continuous,No Grip,No Load,Single Exercise,,,,Frontal Plane,,,Lower Body,,Compound,Unilateral,Plyometric
Single Arm Dumbbell Front Rack Squat,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,1,,,Standing,Single Arm,Continuous,Neutral,Front Rack,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Skater Jump,Video Demonstration,Video Explanation,Novice,Abductors,Gluteus Medius,Adductor Magnus,,Bodyweight,0,,,Single Leg Standing,No Arms,Continuous,No Grip,No Load,Single Exercise,,,,Frontal Plane,,,Lower Body,,Compound,Unilateral,Plyometric
Slider Single Arm Dumbbell Front Rack Reverse Lunge,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Sliders,1,Dumbbell,1,Standing,Single Arm,Continuous,Neutral,Front Rack,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,
Cable Prone Hamstring Curl,Video Demonstration,Video Explanation,Novice,Hamstrings,Biceps Femoris,Gluteus Maximus,,Cable,1,,,Prone,No Arms,Continuous,No Grip,Other,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Pull,Isolation,Bilateral,Bodybuilding
Bulgarian Split Squat Jumps,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,,,Bodyweight,0,,,Single Leg Supported,No Arms,Continuous,No Grip,No Load,Single Exercise,Knee Dominant ,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Plyometric
Cable Standing Single Leg Hamstring Curl,Video Demonstration,,Novice,Hamstrings,Biceps Femoris,Gluteus Maximus,,Cable,1,,,Single Leg Standing,No Arms,Continuous,Hand Assisted,Other,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Pull,Isolation,Unilateral,Bodybuilding
Nordic Hamstring Curl,Video Demonstration,Video Explanation,Advanced,Hamstrings,Biceps Femoris,Gluteus Maximus,,Bodyweight,0,,,Tall Kneeling,No Arms,Continuous,No Grip,No Load,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Pull,Isolation,Bilateral,
Superband Assisted Pistol Squat,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Superband,1,,,Single Leg Standing,Double Arm,Continuous,Neutral,Other,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,
Kettlebell Goblet Squat,Video Demonstration,Video Explanation,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,,,Standing,Double Arm,Continuous,Goblet,Front Rack,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,
Double Dumbbell Front Rack Squat,Video Demonstration,,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,2,,,Standing,Double Arm,Continuous,Neutral,Front Rack,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Bodybuilding
Double Dumbbell Suitcase Walking Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,2,,,Walking,Double Arm,Continuous,Neutral,Suitcase,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Barbell Back Rack Walking Lunge,Video Demonstration,Video Explanation,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1,,,Walking,Double Arm,Continuous,Pronated,Back Rack,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Box Pistol Squat,Video Demonstration,Video Explanation,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight,0,Plyo Box,1,Single Leg Standing,No Arms,Continuous,No Grip,No Load,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Calisthenics
Barbell Overhead Squat,Video Demonstration,Video Explanation,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1,,,Standing,Double Arm,Continuous,Pronated,Overhead,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,
Single Arm Kettlebell Overhead Squat,Video Demonstration,Video Explanation,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,,,Standing,Single Arm,Continuous,Pronated,Overhead,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,
Landmine Goblet Squat,Video Demonstration,Video Explanation,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Landmine,1,,,Standing,Double Arm,Continuous,Neutral,Front Rack,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Bodybuilding
Stability Ball Hamstring Curl,Video Demonstration,Video Explanation,Novice,Hamstrings,Biceps Femoris,Gluteus Maximus,,Stability Ball,1,,,Supine,No Arms,Continuous,No Grip,Other,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Pull,Isolation,Bilateral,
Slider Hamstring Curl,Video Demonstration,Video Explanation,Novice,Hamstrings,Biceps Femoris,Gluteus Maximus,,Sliders,2,,,Supine,No Arms,Continuous,No Grip,No Load,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Pull,Isolation,Bilateral,
Hamstring Walkout ,Video Demonstration,Video Explanation,Novice,Hamstrings,Biceps Femoris,Gluteus Maximus,,Bodyweight,0,,,Bridge,No Arms,Continuous,No Grip,No Load,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,,Compound,Unilateral,
Slider Dumbbell Goblet Reverse Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Sliders,1,Dumbbell,1,Standing,Double Arm,Continuous,Goblet,Front Rack,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,,Compound,Unilateral,
Dragon Pistol Squat,Video Demonstration,Video Explanation,Expert,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight,0,,,Single Leg Standing,No Arms,Continuous,No Grip,No Load,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Calisthenics
Single Arm Dumbbell Front Rack Cossack Squat to Overhead Press,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Quadriceps Femoris,Adductor Magnus,Dumbbell,1,,,Standing,Single Arm,Continuous,Neutral,Overhead,Combo Exercise,Knee Dominant,Vertical Push,,Frontal Plane,,,Full Body,Push,Compound,Unilateral,Bodybuilding
Stability Ball Single Leg Hamstring Curl,Video Demonstration,Video Explanation,Intermediate,Hamstrings,Biceps Femoris,Gluteus Maximus,,Stability Ball,1,,,Supine,No Arms,Continuous,No Grip,No Load,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Pull,Isolation,Unilateral,
Barbell Single Leg Romanian Deadlift,Video Demonstration,,Intermediate,Hamstrings,Biceps Femoris,Gluteus Maximus,,Barbell,1,,,Single Leg Standing,Double Arm,Continuous,Pronated,Other,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Lower Body,Pull,Compound,Unilateral,Bodybuilding
Double Dumbbell Suitcase Lateral Lunge,Video Demonstration,Video Explanation,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,2,,,Standing,Double Arm,Continuous,Neutral,Suitcase,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,,Compound,Unilateral,
Barbell Frankenstein Walking Lunge,Video Demonstration,,Expert,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1,,,Walking,Double Arm,Continuous,No Grip,Front Rack,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Barbell Overhead Walking Lunge,Video Demonstration,,Expert,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1,,,Walking,Double Arm,Continuous,Pronated,Overhead,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Barbell Overhead Lateral Lunge,Video Demonstration,,Expert,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1,,,Standing,Double Arm,Continuous,Pronated,Overhead,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,
Barbell Squat Clean,Video Demonstration,Video Explanation,Expert,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1,,,Standing,Double Arm,Continuous,Pronated,Front Rack,Single Exercise,Knee Dominant,Hip Hinge,,Sagittal Plane,,,Full Body,,Compound,Bilateral,Olympic Weightlifting 
Landmine Clean and Jerk,Video Demonstration,,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,,Landmine,1,,,Standing,Single Arm,Continuous,Pronated,Overhead,Combo Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,,Compound,Unilateral,
Landmine Hack Squat,Video Demonstration,Video Explanation,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Landmine,1,,,Standing,Single Arm,Continuous,Neutral,Other,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Landmine Shoulder Press,Video Demonstration,Video Explanation,Intermediate,Shoulders,Anterior Deltoids,,,Landmine,1,,,Standing,Single Arm,Continuous,Neutral,Overhead,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,
Alternating Single Arm Landmine Shoulder Press,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,,,Landmine,1,,,Standing,Single Arm,Alternating,Neutral,Overhead,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,
Single Arm Landmine Half Kneeling Shoulder Press,Video Demonstration,Video Explanation,Intermediate,Shoulders,Anterior Deltoids,,,Landmine,1,,,Half Kneeling,Single Arm,Continuous,Neutral,Overhead,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,
Single Arm Landmine Tall Kneeling Shoulder Press,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,,,Landmine,1,,,Tall Kneeling,Single Arm,Continuous,Neutral,Overhead,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,
Single Arm Landmine Meadows Row,Video Demonstration,Video Explanation,Novice,Back,Latissimus Dorsi,,,Landmine,1,,,Standing,Single Arm,Continuous,Pronated,Other,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Unilateral,Bodybuilding
Single Arm Landmine Z Press,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,,,Landmine,1,,,Seated Floor,Single Arm,Continuous,Neutral,Overhead,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
Barbell Z Press,Video Demonstration,Video Explanation,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Barbell,1,,,Seated Floor,Double Arm,Continuous,Pronated,Overhead,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
Landmine Half Kneeling Oblique Twist ,Video Demonstration,,Intermediate,Abdominals,Obliques,,,Landmine,1,,,Half Kneeling,Double Arm,Continuous,Neutral,Other,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,
Cable Seated Bicep Curl,Video Demonstration,,Novice,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Cable,1,,,Seated,Double Arm,Continuous,Supinated,Other,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
Single Arm Dumbbell Seated Concentration Curl,Video Demonstration,,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Dumbbell,1,,,Seated,Single Arm,Continuous,Supinated,Other,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Unilateral,Bodybuilding
Alternating Double Dumbbell Incline Bench Bicep Curl,Video Demonstration,Video Explanation,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Dumbbell,2,Bench (Incline),1,Seated,Double Arm,Alternating,Supinated,Other,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Unilateral,Bodybuilding
Single Arm Suspension Bicep Curl,,Video Explanation,Intermediate,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Suspension Trainer,1,,,Standing,Single Arm,Continuous,Supinated,No Load,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Unilateral,
Stability Ball Single Arm Plank,Video Demonstration,,Expert,Abdominals,Rectus Abdominis,,,Stability Ball,1,,,Prone,Single Arm,Continuous,Forearm,No Load,Single Exercise,Anti-Rotational,Anti-Extension,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,
Stability Ball Feet Elevated Single Arm Plank,Video Demonstration,,Expert,Abdominals,Rectus Abdominis,,,Stability Ball,1,,,Prone,Single Arm,Continuous,Forearm,No Load,Single Exercise,Anti-Rotational,Anti-Extension,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,
Landmine Zercher Skater Squat,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Landmine,1,,,Standing,Double Arm,Continuous,Other,Other,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,
Landmine Reverse Lunge to Single Arm Shoulder Press,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Landmine,1,,,Standing,Single Arm,Continuous,Neutral,Overhead,Combo Exercise,Knee Dominant,Vertical Push,,Sagittal Plane,,,Full Body,Push,Compound,Unilateral,
Landmine Thruster,Video Demonstration,Video Explanation,Novice,Shoulders,Anterior Deltoids,Quadriceps Femoris,,Landmine,1,,,Standing,Double Arm,Continuous,Neutral,Overhead,Single Exercise,Vertical Push,Knee Dominant,,Sagittal Plane,,,Full Body,Push,Compound,Bilateral,
Landmine Romanian Deadlift,Video Demonstration,Video Explanation,Novice,Hamstrings,Biceps Femoris,Gluteus Maximus,,Landmine,1,,,Standing,Double Arm,Continuous,Neutral,Other,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Lower Body,Pull,Compound,Bilateral,Bodybuilding
Landmine Single Leg Romanian Deadlift,Video Demonstration,Video Explanation,Intermediate,Hamstrings,Biceps Femoris,Gluteus Maximus,,Landmine,1,,,Single Leg Standing,Single Arm,Continuous,Pronated,Other,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Lower Body,Pull,Compound,Unilateral,Bodybuilding
Landmine Tall Kneeling Oblique Twist,Video Demonstration,Video Explanation,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Landmine,1,,,Tall Kneeling,Double Arm,Continuous,Neutral,Other,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,
Landmine Russian Twist,Video Demonstration,,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Landmine,1,,,Seated,Double Arm,Continuous,Neutral,Other,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,
Single Arm Landmine Thruster,Video Demonstration,Video Explanation,Intermediate,Shoulders,Anterior Deltoids,Quadriceps Femoris,,Landmine,1,,,Standing,Single Arm,Continuous,Neutral,Overhead,Single Exercise,Vertical Push,Knee Dominant,,Sagittal Plane,,,Full Body,Push,Compound,Unilateral,
Landmine Calf Raise,Video Demonstration,,Novice,Calves,Gastrocnemius,,,Landmine,1,,,Standing,Double Arm,Continuous,Neutral,Other,Single Exercise,Ankle Plantar Flexion,,,Sagittal Plane,,,Lower Body,Push,Isolation,Bilateral,Bodybuilding
Cable Tall Kneeling Overhead Tricep Extension ,Video Demonstration,,Novice,Triceps,Triceps Brachii,,,Cable,1,,,Tall Kneeling,Double Arm,Continuous,Neutral,Overhead,Single Exercise,Elbow Extension,,,Sagittal Plane,,,Upper Body,Push,Isolation,Bilateral,Bodybuilding
Cable Rope Skullcrusher,Video Demonstration,,Novice,Triceps,Triceps Brachii,,,Cable,1,,,Supine,Double Arm,Continuous,Neutral,Other,Single Exercise,Elbow Extension,,,Sagittal Plane,,,Upper Body,Push,Isolation,Bilateral,Bodybuilding
Barbell Power Clean to Overhead Press,Video Demonstration,,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,,Barbell,1,,,Standing,Double Arm,Continuous,Pronated,Overhead,Combo Exercise,Hip Hinge,Vertical Push,,Sagittal Plane,,,Full Body,,Compound,Bilateral,
Single Arm Dumbbell Seated Cuban Press,Video Demonstration,,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Dumbbell,1,,,Seated,Single Arm,Continuous,Pronated,Overhead,Single Exercise,Shoulder External Rotation,,,Transverse Plane,,,Upper Body,Push & Pull,Compound,Unilateral,
Landmine Zercher Curtsy Lunge,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Landmine,1,,,Standing,Double Arm,Continuous,Other,Other,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,
Barbell Back Rack Alternating Cossack Squat,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Barbell,1,,,Standing,Double Arm,Continuous,Pronated,Back Rack,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Barbell Front Rack Alternating Cossack Squat,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Barbell,1,,,Standing,Double Arm,Continuous,Pronated,Front Rack,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Kettlebell Goblet Alternating Cossack Squat,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell,1,,,Standing,Double Arm,Continuous,Goblet,Front Rack,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Dumbbell Goblet Alternating Cossack Squat,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell,1,,,Standing,Double Arm,Continuous,Goblet,Front Rack,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
